,Listing Type,Property Type,Building Type,City,Locality,Area,Rent,Furnishing Status,Number of Rooms,Number of Bathroom,Covered Parking,View,Floor Number,Tower/Block,Additional Rooms,Security Deposit,Available From,Age of Property (Years),Unit No,Total Floor Count,Balcony,Open/Uncovered Parking,Deposit amount,crime,hospital
3076,Rent,Residential,Apartment,Bangalore,Kanakapura,1480 Sq.Ft. (Saleable Area),"31,000",Furnished,3,2,1,Community View,1,,,Other,Later,7-May,,8,Connected,,150000,no,no
3077,Rent,Residential,Villa,Bangalore,Chansandra,3589 Sq.Ft. (Saleable Area),1.2 L,Semi-Furnished,4,5,3,Garden View,,1,Servant Room,Other,Immediately,7-May,,2,Individual,1,600000,no,no
3078,Rent,Commercial,Office Space,Bangalore,Battarahalli,2000 Sq.Ft. (Carpet Area),1.4 L,Unfurnished,,,6+,Road View,Ground,Hebron Tower 9,,Other,,10-Aug,0,,,6+,1000000,no,no
3079,Rent,Residential,Apartment,Bangalore,Yelahanka,1781 Sq.Ft. (Saleable Area),"28,000",Semi-Furnished,,,,Park View,2,G,,Other,,,,12,,,150000,no,no
3080,Rent,Residential,Apartment,Bangalore,Harlur,1850 Sq.Ft. (Built-up Area),"65,000",Semi-Furnished,3,4,1,,2,G,Servant Room,Other,Immediately,10+,202,12,,,500000,no,no
3081,Rent,Commercial,Office Space,Bangalore,Domlur,1100 Sq.Ft. (Built-up Area),"57,000",Semi-Furnished,,,1,Park View,3,1 block,,Other,,,1,,,,250000,no,yes
3082,Rent,Commercial,Office Space,Bangalore,Marathahalli,1600 Sq.Ft. (Built-up Area),1.58 L,Furnished,,,4,Road View,2,,,Two Month,,4-Feb,,,,2,,no,no
3083,Rent,Residential,Villa,Bangalore,Koramangala,4000 Sq.Ft. (Built-up Area),1.4 L,Semi-Furnished,4,4,3,Road View,,1,"Pooja Room,Servant Room",Other,Immediately,10-Aug,1,1,"Connected,Individual",1,600000,no,yes
3084,Rent,Residential,Apartment,Bangalore,Kr Puram,1550 Sq.Ft. (Built-up Area),"24,000",Semi-Furnished,3,2,2,Pool View,second,First,,Other,Later,7-May,1,,Connected,,90000,no,no
3085,Rent,Residential,Apartment,Bangalore,Whitefield,1455 Sq.Ft. (Built-up Area),"45,000",Semi-Furnished,2,2,1,,2,1,,Other,Immediately,4-Feb,102,6,Individual,,300000,no,no
3086,Rent,Residential,Apartment,Bangalore,Kr Puram,1894 Sq.Ft. (Built-up Area),"42,000",Furnished,3,3,1,Lake View,10,,Study Room,Other,Immediately,4-Feb,,,Connected,1,200000,no,no
3087,Rent,Residential,Apartment,Bangalore,Cambridge Layout,1100 Sq.Ft. (Built-up Area),"55,000",Semi-Furnished,2,2,1,Road View,3,,,Other,Immediately,4-Feb,,,Individual,1,300000,no,no
3088,Rent,Residential,Apartment,Bangalore,Yelahanka,900 Sq.Ft. (Built-up Area),"25,000",Furnished,2,2,1,Road View,0,A,,Other,Immediately,7-May,,10,Individual,,180000,no,no
3089,Rent,Residential,Apartment,Bangalore,Hebbal,790 Sq.Ft. (Built-up Area),"25,000",Semi-Furnished,2,2,1,Garden View,7,B,Extra Room,Other,Immediately,4-Feb,1,12,Room-attached,,150000,no,no
3090,Rent,Commercial,Office Space,Bangalore,Jp Nagar,11000 Sq.Ft. (Built-up Area),10 L,Furnished,,,3,Road View,4,1,,Other,,10-Aug,4,,Individual,,6000000,no,no
3091,Rent,Residential,Apartment,Bangalore,Kadugodi,1704 Sq.Ft. (Built-up Area),"70,000",Semi-Furnished,3,3,1,Garden View,16,B,Extra Room,Other,Immediately,4-Feb,1,25,Room-attached,,300000,no,no
3092,Rent,Commercial,Warehouse,Bangalore,Bangalore Central Jail,1550 Sq.Ft. (Built-up Area),4.65 L,,,,6+,,,,,Other,,0-1,,,,6+,4650000,no,yes
